"","uuid","suspicion_rating","normed_signed_e_v","normed_unsigned_e_v","subject_lost","subject_lied","reward_block","random_pick_col","n_blue","prop_blue","random_pick_red"
"1","59fc8a30087f2e0001ead66d",0.833333333333333,1,1,1,0,"high","red",1,0.142857142857143,1
"2","59fc8a30087f2e0001ead66d",0.833333333333333,0.909090909090909,0.857142857142857,1,0,"high","red",2,0.285714285714286,1
"3","59fc8a30087f2e0001ead66d",0.333333333333333,0.272727272727273,0.428571428571429,0,0,"high","red",2,0.285714285714286,1
"4","59fc8a30087f2e0001ead66d",0.333333333333333,0.363636363636364,0.285714285714286,0,0,"high","red",1,0.142857142857143,1
"5","59fc8a30087f2e0001ead66d",1,0.636363636363636,0.428571428571429,1,0,"high","red",5,0.714285714285714,1
"6","59fc8a30087f2e0001ead66d",1,0.363636363636364,0.285714285714286,0,0,"high","red",1,0.142857142857143,1
"7","59fc8a30087f2e0001ead66d",0.5,0.636363636363636,0.428571428571429,0,0,"high","blue",5,0.714285714285714,0
"8","59fc8a30087f2e0001ead66d",0.333333333333333,0.636363636363636,0.428571428571429,0,0,"high","blue",5,0.714285714285714,0
"9","59fc8a30087f2e0001ead66d",0.333333333333333,0.272727272727273,0.428571428571429,0,0,"high","red",2,0.285714285714286,1
"10","59fc8a30087f2e0001ead66d",0.333333333333333,0.363636363636364,0.285714285714286,0,0,"high","red",1,0.142857142857143,1
"11","59fc8a30087f2e0001ead66d",0.166666666666667,0.636363636363636,0.428571428571429,0,0,"high","blue",5,0.714285714285714,0
"12","59fc8a30087f2e0001ead66d",1,1,1,1,0,"high","red",1,0.142857142857143,1
"13","59fc8a30087f2e0001ead66d",0.166666666666667,0.363636363636364,0.285714285714286,0,0,"high","blue",1,0.142857142857143,0
"14","59fc8a30087f2e0001ead66d",0.333333333333333,0.909090909090909,0.857142857142857,0,1,"high","red",2,0.285714285714286,1
"15","59fc8a30087f2e0001ead66d",0.166666666666667,0,0.857142857142857,0,0,"high","blue",5,0.714285714285714,0
