"","uuid","suspicion_rating","subject_lied","subject_lost","normed_signed_e_v","normed_unsigned_e_v","random_pick_col","reward_block"
"1","55e876f25e4d360012cc283d",0.333333333333333,0,0,0.555555555555556,0.428571428571429,"blue",0
"2","55e876f25e4d360012cc283d",0.166666666666667,0,0,0.222222222222222,0.285714285714286,"red",0
"3","55e876f25e4d360012cc283d",0.5,0,1,0.666666666666667,0.571428571428572,"red",0
"4","55e876f25e4d360012cc283d",0.833333333333333,1,0,0.888888888888889,0.857142857142857,"red",0
"5","55e876f25e4d360012cc283d",1,1,0,1,1,"red",0
"6","55e876f25e4d360012cc283d",0.5,0,0,0.666666666666667,0.571428571428572,"blue",0
"7","55e876f25e4d360012cc283d",0.333333333333333,0,0,0.444444444444444,0.285714285714286,"blue",0
"8","55e876f25e4d360012cc283d",0.333333333333333,1,0,0,0.571428571428572,"red",0
"9","55e876f25e4d360012cc283d",0.833333333333333,1,0,0.888888888888889,0.857142857142857,"red",0
"10","55e876f25e4d360012cc283d",0.333333333333333,1,0,0.555555555555556,0.428571428571429,"red",0
"11","55e876f25e4d360012cc283d",0.166666666666667,0,0,0.111111111111111,0.428571428571429,"blue",0
"12","55e876f25e4d360012cc283d",0.833333333333333,0,0,0.777777777777778,0.714285714285714,"blue",0
"13","55e876f25e4d360012cc283d",0.333333333333333,0,0,0.222222222222222,0.285714285714286,"red",0
"14","55e876f25e4d360012cc283d",0.5,0,0,0.555555555555556,0.428571428571429,"blue",0
"15","55e876f25e4d360012cc283d",0.333333333333333,1,0,0,0.571428571428572,"red",0
"16","55e876f25e4d360012cc283d",1,1,0,0.888888888888889,0.857142857142857,"red",0
"17","55e876f25e4d360012cc283d",0.333333333333333,0,0,0.111111111111111,0.428571428571429,"red",0
"18","55e876f25e4d360012cc283d",0.333333333333333,1,0,0.444444444444444,0.285714285714286,"red",0
"19","55e876f25e4d360012cc283d",0.333333333333333,0,0,0.111111111111111,0.428571428571429,"blue",0
"20","55e876f25e4d360012cc283d",0.166666666666667,0,0,0.444444444444444,0.285714285714286,"blue",0
"21","55e876f25e4d360012cc283d",1,0,1,1,1,"red",0
"22","55e876f25e4d360012cc283d",0.5,0,0,0.444444444444444,0.285714285714286,"blue",0
"23","55e876f25e4d360012cc283d",0.5,1,0,0.888888888888889,0.857142857142857,"red",0
"24","55e876f25e4d360012cc283d",0.833333333333333,1,0,0.777777777777778,0.714285714285714,"red",0
"25","55e876f25e4d360012cc283d",0.333333333333333,0,0,0.222222222222222,0.285714285714286,"red",0
"26","55e876f25e4d360012cc283d",0.5,0,0,0.444444444444444,0.285714285714286,"blue",0
"27","55e876f25e4d360012cc283d",0.333333333333333,0,0,0.222222222222222,0.285714285714286,"red",0
"28","55e876f25e4d360012cc283d",0.333333333333333,0,0,0.111111111111111,0.428571428571429,"blue",0
"29","55e876f25e4d360012cc283d",0.333333333333333,0,0,0.444444444444444,0.285714285714286,"blue",0
"30","55e876f25e4d360012cc283d",0.333333333333333,1,0,0.111111111111111,0.428571428571429,"red",0
"31","55e876f25e4d360012cc283d",1,1,0,1,1,"red",1
"32","55e876f25e4d360012cc283d",1,1,0,0.818181818181818,0.714285714285714,"red",1
"33","55e876f25e4d360012cc283d",0.833333333333333,0,0,0.818181818181818,0.714285714285714,"blue",1
"34","55e876f25e4d360012cc283d",0.333333333333333,0,0,0.181818181818182,0.571428571428572,"red",1
"35","55e876f25e4d360012cc283d",1,0,1,1,1,"red",1
"36","55e876f25e4d360012cc283d",0.333333333333333,1,0,0.272727272727273,0.428571428571429,"red",1
"37","55e876f25e4d360012cc283d",0.333333333333333,0,0,0.363636363636364,0.285714285714286,"red",1
"38","55e876f25e4d360012cc283d",0.5,0,0,0.545454545454545,0.285714285714286,"blue",1
"39","55e876f25e4d360012cc283d",0.666666666666667,0,0,0.727272727272727,0.571428571428572,"blue",1
"40","55e876f25e4d360012cc283d",0.166666666666667,0,0,0,0.857142857142857,"blue",1
"41","55e876f25e4d360012cc283d",0.5,0,0,0.545454545454545,0.285714285714286,"blue",1
"42","55e876f25e4d360012cc283d",0.5,0,0,0.636363636363636,0.428571428571429,"blue",1
"43","55e876f25e4d360012cc283d",1,0,1,1,1,"red",1
"44","55e876f25e4d360012cc283d",0.5,0,0,0.363636363636364,0.285714285714286,"red",1
"45","55e876f25e4d360012cc283d",1,0,1,1,1,"red",1
"46","55e876f25e4d360012cc283d",0.333333333333333,0,0,0.272727272727273,0.428571428571429,"red",1
"47","55e876f25e4d360012cc283d",0.333333333333333,1,0,0.363636363636364,0.285714285714286,"red",1
"48","55e876f25e4d360012cc283d",0.5,0,0,0.636363636363636,0.428571428571429,"blue",1
"49","55e876f25e4d360012cc283d",0.333333333333333,0,0,0.363636363636364,0.285714285714286,"red",1
"50","55e876f25e4d360012cc283d",0.5,0,1,0.636363636363636,0.428571428571429,"red",1
"51","55e876f25e4d360012cc283d",0.333333333333333,0,0,0.272727272727273,0.428571428571429,"red",1
"52","55e876f25e4d360012cc283d",0.333333333333333,0,0,0.363636363636364,0.285714285714286,"red",1
"53","55e876f25e4d360012cc283d",0.5,0,0,0.636363636363636,0.428571428571429,"blue",1
"54","55e876f25e4d360012cc283d",0.333333333333333,0,0,0.636363636363636,0.428571428571429,"blue",1
"55","55e876f25e4d360012cc283d",1,1,0,1,1,"red",1
"56","55e876f25e4d360012cc283d",0.5,0,0,0.545454545454545,0.285714285714286,"blue",1
"57","55e876f25e4d360012cc283d",0.666666666666667,1,0,0.636363636363636,0.428571428571429,"red",1
