"","uuid","honesty_rating","pp_lied","win_tie_lose","outcome","random_pick_index","reported_col","random_pick_col","n_red","trial","n_blue","e_v","normed_signed_e_v","normed_unsigned_e_v","suspicion_rating","subject_lied","subject_lost","condition","block","reward_block","X","prop_bluepicks_block_high_reward","lie_proportion_block_high_reward","lie_proportion_redpicks_block_high_reward","mean_suspicion_rating_block_high_reward","prop_bluepicks_block_low_reward","lie_proportion_block_low_reward","lie_proportion_redpicks_block_low_reward","mean_suspicion_rating_block_low_reward","morelying_redpick_highstake","morelying_highstake","morelying_redpick_lowstake","morelying_lowstake","n_subjective_detection_block_high_reward","tp_block_high_reward","fp_block_high_reward","dprime_block_high_reward","n_subjective_detection_block_low_reward","tp_block_low_reward","fp_block_low_reward","dprime_block_low_reward","crt","twin","gender","age","edlev","block_mean_suspicion_rating","block_lie_proportion"
"13","5a0f2e4e074b1900012523ee",5,"True","tie",1,2,1,"blue",1,13,6,0.142857142857143,0.545454545454545,0.285714285714286,0.166666666666667,0,0,"1high_2low","game_block1","high",20,0.466666666666667,0,0,1.76666666666667,0.366666666666667,0.0333333333333333,0,1.66666666666667,"False","False","False","True",0,0,0,0,0,0,0,0,1,0,"female",31,5,1.76666666666667,0
"14","5a0f2e4e074b1900012523ee",4,"True","loss",1,1,-1,"red",6,14,1,0.857142857142857,1,1,0.333333333333333,0,1,"1high_2low","game_block1","high",20,0.466666666666667,0,0,1.76666666666667,0.366666666666667,0.0333333333333333,0,1.66666666666667,"False","False","False","True",0,0,0,0,0,0,0,0,1,0,"female",31,5,1.76666666666667,0
"15","5a0f2e4e074b1900012523ee",4,"True","loss",1,2,-1,"red",4,15,3,0.571428571428571,0.818181818181818,0.714285714285714,0.333333333333333,0,1,"1high_2low","game_block1","high",20,0.466666666666667,0,0,1.76666666666667,0.366666666666667,0.0333333333333333,0,1.66666666666667,"False","False","False","True",0,0,0,0,0,0,0,0,1,0,"female",31,5,1.76666666666667,0
"16","5a0f2e4e074b1900012523ee",3,"True","tie",1,6,1,"blue",5,16,2,0.714285714285714,0.909090909090909,0.857142857142857,0.5,0,0,"1high_2low","game_block1","high",20,0.466666666666667,0,0,1.76666666666667,0.366666666666667,0.0333333333333333,0,1.66666666666667,"False","False","False","True",0,0,0,0,0,0,0,0,1,0,"female",31,5,1.76666666666667,0
"17","5a0f2e4e074b1900012523ee",4,"False","loss",1,0,-1,"red",2,17,5,0.285714285714286,0.636363636363636,0.428571428571429,0.333333333333333,0,1,"1high_2low","game_block1","high",20,0.466666666666667,0,0,1.76666666666667,0.366666666666667,0.0333333333333333,0,1.66666666666667,"False","False","False","True",0,0,0,0,0,0,0,0,1,0,"female",31,5,1.76666666666667,0
"18","5a0f2e4e074b1900012523ee",4,"False","tie",-1,4,-1,"red",6,18,1,-0.142857142857143,0.363636363636364,0.285714285714286,0.333333333333333,0,0,"1high_2low","game_block1","high",20,0.466666666666667,0,0,1.76666666666667,0.366666666666667,0.0333333333333333,0,1.66666666666667,"False","False","False","True",0,0,0,0,0,0,0,0,1,0,"female",31,5,1.76666666666667,0
"19","5a0f2e4e074b1900012523ee",4,"False","win",-1,2,1,"blue",2,19,5,-0.714285714285714,0,0.857142857142857,0.333333333333333,0,0,"1high_2low","game_block1","high",20,0.466666666666667,0,0,1.76666666666667,0.366666666666667,0.0333333333333333,0,1.66666666666667,"False","False","False","True",0,0,0,0,0,0,0,0,1,0,"female",31,5,1.76666666666667,0
"20","5a0f2e4e074b1900012523ee",4,"True","loss",1,2,-1,"red",5,20,2,0.714285714285714,0.909090909090909,0.857142857142857,0.333333333333333,0,1,"1high_2low","game_block1","high",20,0.466666666666667,0,0,1.76666666666667,0.366666666666667,0.0333333333333333,0,1.66666666666667,"False","False","False","True",0,0,0,0,0,0,0,0,1,0,"female",31,5,1.76666666666667,0
"21","5a0f2e4e074b1900012523ee",4,"False","loss",1,1,-1,"red",4,21,3,0.571428571428571,0.818181818181818,0.714285714285714,0.333333333333333,0,1,"1high_2low","game_block1","high",20,0.466666666666667,0,0,1.76666666666667,0.366666666666667,0.0333333333333333,0,1.66666666666667,"False","False","False","True",0,0,0,0,0,0,0,0,1,0,"female",31,5,1.76666666666667,0
"22","5a0f2e4e074b1900012523ee",4,"False","tie",-1,3,-1,"red",6,22,1,-0.142857142857143,0.363636363636364,0.285714285714286,0.333333333333333,0,0,"1high_2low","game_block1","high",20,0.466666666666667,0,0,1.76666666666667,0.366666666666667,0.0333333333333333,0,1.66666666666667,"False","False","False","True",0,0,0,0,0,0,0,0,1,0,"female",31,5,1.76666666666667,0
"23","5a0f2e4e074b1900012523ee",4,"False","tie",1,5,1,"blue",1,23,6,0.142857142857143,0.545454545454545,0.285714285714286,0.333333333333333,0,0,"1high_2low","game_block1","high",20,0.466666666666667,0,0,1.76666666666667,0.366666666666667,0.0333333333333333,0,1.66666666666667,"False","False","False","True",0,0,0,0,0,0,0,0,1,0,"female",31,5,1.76666666666667,0
"24","5a0f2e4e074b1900012523ee",4,"False","tie",1,4,1,"blue",2,24,5,0.285714285714286,0.636363636363636,0.428571428571429,0.333333333333333,0,0,"1high_2low","game_block1","high",20,0.466666666666667,0,0,1.76666666666667,0.366666666666667,0.0333333333333333,0,1.66666666666667,"False","False","False","True",0,0,0,0,0,0,0,0,1,0,"female",31,5,1.76666666666667,0
"25","5a0f2e4e074b1900012523ee",4,"False","tie",1,3,1,"blue",2,25,5,0.285714285714286,0.636363636363636,0.428571428571429,0.333333333333333,0,0,"1high_2low","game_block1","high",20,0.466666666666667,0,0,1.76666666666667,0.366666666666667,0.0333333333333333,0,1.66666666666667,"False","False","False","True",0,0,0,0,0,0,0,0,1,0,"female",31,5,1.76666666666667,0
"26","5a0f2e4e074b1900012523ee",4,"True","tie",1,6,1,"blue",2,26,5,0.285714285714286,0.636363636363636,0.428571428571429,0.333333333333333,0,0,"1high_2low","game_block1","high",20,0.466666666666667,0,0,1.76666666666667,0.366666666666667,0.0333333333333333,0,1.66666666666667,"False","False","False","True",0,0,0,0,0,0,0,0,1,0,"female",31,5,1.76666666666667,0
"27","5a0f2e4e074b1900012523ee",5,"False","win",-1,5,1,"blue",5,27,2,-0.285714285714286,0.272727272727273,0.428571428571429,0.166666666666667,0,0,"1high_2low","game_block1","high",20,0.466666666666667,0,0,1.76666666666667,0.366666666666667,0.0333333333333333,0,1.66666666666667,"False","False","False","True",0,0,0,0,0,0,0,0,1,0,"female",31,5,1.76666666666667,0
"28","5a0f2e4e074b1900012523ee",4,"False","loss",1,1,-1,"red",5,28,2,0.714285714285714,0.909090909090909,0.857142857142857,0.333333333333333,0,1,"1high_2low","game_block1","high",20,0.466666666666667,0,0,1.76666666666667,0.366666666666667,0.0333333333333333,0,1.66666666666667,"False","False","False","True",0,0,0,0,0,0,0,0,1,0,"female",31,5,1.76666666666667,0
"29","5a0f2e4e074b1900012523ee",4,"False","loss",1,0,-1,"red",5,29,2,0.714285714285714,0.909090909090909,0.857142857142857,0.333333333333333,0,1,"1high_2low","game_block1","high",20,0.466666666666667,0,0,1.76666666666667,0.366666666666667,0.0333333333333333,0,1.66666666666667,"False","False","False","True",0,0,0,0,0,0,0,0,1,0,"female",31,5,1.76666666666667,0
"30","5a0f2e4e074b1900012523ee",5,"False","win",-1,6,1,"blue",6,30,1,-0.142857142857143,0.363636363636364,0.285714285714286,0.166666666666667,0,0,"1high_2low","game_block1","high",20,0.466666666666667,0,0,1.76666666666667,0.366666666666667,0.0333333333333333,0,1.66666666666667,"False","False","False","True",0,0,0,0,0,0,0,0,1,0,"female",31,5,1.76666666666667,0
"31","5a0f2e4e074b1900012523ee",4,"False","loss",1,2,-1,"red",3,1,4,0.428571428571429,0.75,0.571428571428572,0.333333333333333,0,1,"1high_2low","game_block2","low",20,0.466666666666667,0,0,1.76666666666667,0.366666666666667,0.0333333333333333,0,1.66666666666667,"False","False","False","True",0,0,0,0,0,0,0,0,1,0,"female",31,5,1.66666666666667,0
"32","5a0f2e4e074b1900012523ee",4,"False","tie",-1,2,-1,"red",6,2,1,-0.142857142857143,0.416666666666667,0.285714285714286,0.333333333333333,0,0,"1high_2low","game_block2","low",20,0.466666666666667,0,0,1.76666666666667,0.366666666666667,0.0333333333333333,0,1.66666666666667,"False","False","False","True",0,0,0,0,0,0,0,0,1,0,"female",31,5,1.66666666666667,0
"33","5a0f2e4e074b1900012523ee",4,"False","win",-1,5,1,"blue",1,3,6,-0.857142857142857,0,1,0.333333333333333,0,0,"1high_2low","game_block2","low",20,0.466666666666667,0,0,1.76666666666667,0.366666666666667,0.0333333333333333,0,1.66666666666667,"False","False","False","True",0,0,0,0,0,0,0,0,1,0,"female",31,5,1.66666666666667,0
"34","5a0f2e4e074b1900012523ee",5,"False","tie",1,3,1,"blue",1,4,6,0.142857142857143,0.583333333333333,0.285714285714286,0.166666666666667,0,0,"1high_2low","game_block2","low",20,0.466666666666667,0,0,1.76666666666667,0.366666666666667,0.0333333333333333,0,1.66666666666667,"False","False","False","True",0,0,0,0,0,0,0,0,1,0,"female",31,5,1.66666666666667,0
"35","5a0f2e4e074b1900012523ee",4,"False","tie",-1,1,-1,"red",2,5,5,-0.714285714285714,0.0833333333333334,0.857142857142857,0.333333333333333,0,0,"1high_2low","game_block2","low",20,0.466666666666667,0,0,1.76666666666667,0.366666666666667,0.0333333333333333,0,1.66666666666667,"False","False","False","True",0,0,0,0,0,0,0,0,1,0,"female",31,5,1.66666666666667,0
