"","X","uuid","normed_signed_e_v","normed_unsigned_e_v","subject_lost","subject_lied","reward_block","lied"
"59",58,"63d7b1a0af0a978609a30e3b",0.636363636363636,0.428571428571429,"False","False",1,0
"60",59,"63d7b1a0af0a978609a30e3b",1,1,"True","False",1,0
"61",60,"5ade6793dee8590001b04784",1,1,"False","True",1,1
"62",61,"5ade6793dee8590001b04784",0.909090909090909,0.857142857142857,"False","True",1,1
"63",62,"5ade6793dee8590001b04784",0.272727272727273,0.428571428571429,"False","True",1,1
"64",63,"5ade6793dee8590001b04784",0.363636363636364,0.285714285714286,"False","True",1,1
"65",64,"5ade6793dee8590001b04784",0.636363636363636,0.428571428571429,"False","False",1,0
"66",65,"5ade6793dee8590001b04784",0.363636363636364,0.285714285714286,"False","True",1,1
"67",66,"5ade6793dee8590001b04784",0.636363636363636,0.428571428571429,"False","True",1,1
"68",67,"5ade6793dee8590001b04784",0.636363636363636,0.428571428571429,"False","False",1,0
"69",68,"5ade6793dee8590001b04784",0.272727272727273,0.428571428571429,"False","False",1,0
"70",69,"5ade6793dee8590001b04784",0.363636363636364,0.285714285714286,"False","False",1,0
"71",70,"5ade6793dee8590001b04784",0.636363636363636,0.428571428571429,"False","False",1,0
"72",71,"5ade6793dee8590001b04784",1,1,"False","False",1,0
"73",72,"5ade6793dee8590001b04784",0.363636363636364,0.285714285714286,"False","False",1,0
"74",73,"5ade6793dee8590001b04784",0.909090909090909,0.857142857142857,"True","False",1,0
"75",74,"5ade6793dee8590001b04784",0,0.857142857142857,"False","True",1,1
"76",75,"5ade6793dee8590001b04784",0.272727272727273,0.428571428571429,"False","False",1,0
"77",76,"5ade6793dee8590001b04784",0.181818181818182,0.571428571428572,"False","True",1,1
"78",77,"5ade6793dee8590001b04784",0.545454545454545,0.285714285714286,"False","False",1,0
"79",78,"5ade6793dee8590001b04784",0.272727272727273,0.428571428571429,"False","False",1,0
"80",79,"5ade6793dee8590001b04784",0.727272727272727,0.571428571428572,"False","True",1,1
"81",80,"5ade6793dee8590001b04784",0.909090909090909,0.857142857142857,"True","False",1,0
"82",81,"5ade6793dee8590001b04784",0.363636363636364,0.285714285714286,"False","False",1,0
"83",82,"5ade6793dee8590001b04784",0.181818181818182,0.571428571428572,"False","True",1,1
"84",83,"5ade6793dee8590001b04784",0.909090909090909,0.857142857142857,"True","False",1,0
"85",84,"5ade6793dee8590001b04784",0.545454545454545,0.285714285714286,"False","False",1,0
"86",85,"5ade6793dee8590001b04784",0.909090909090909,0.857142857142857,"False","False",1,0
"87",86,"5ade6793dee8590001b04784",0.363636363636364,0.285714285714286,"False","True",1,1
"88",87,"5ade6793dee8590001b04784",0.818181818181818,0.714285714285714,"False","False",1,0
"89",88,"5ade6793dee8590001b04784",0.636363636363636,0.428571428571429,"False","False",1,0
"90",89,"5ade6793dee8590001b04784",1,1,"False","True",1,1
"91",90,"5eb9d60bcd9c0e0fec1757d5",1,1,"True","False",1,0
"92",91,"5eb9d60bcd9c0e0fec1757d5",0.909090909090909,0.857142857142857,"False","False",1,0
"93",92,"5eb9d60bcd9c0e0fec1757d5",0.272727272727273,0.428571428571429,"False","False",1,0
"94",93,"5eb9d60bcd9c0e0fec1757d5",0.363636363636364,0.285714285714286,"False","False",1,0
"95",94,"5eb9d60bcd9c0e0fec1757d5",0.636363636363636,0.428571428571429,"False","False",1,0
"96",95,"5eb9d60bcd9c0e0fec1757d5",0.363636363636364,0.285714285714286,"False","False",1,0
"97",96,"5eb9d60bcd9c0e0fec1757d5",0.636363636363636,0.428571428571429,"False","False",1,0
"98",97,"5eb9d60bcd9c0e0fec1757d5",0.636363636363636,0.428571428571429,"False","False",1,0
"99",98,"5eb9d60bcd9c0e0fec1757d5",0.272727272727273,0.428571428571429,"False","False",1,0
"100",99,"5eb9d60bcd9c0e0fec1757d5",0.363636363636364,0.285714285714286,"False","False",1,0
"101",100,"5eb9d60bcd9c0e0fec1757d5",0.636363636363636,0.428571428571429,"False","False",1,0
"102",101,"5eb9d60bcd9c0e0fec1757d5",1,1,"True","False",1,0
"103",102,"5eb9d60bcd9c0e0fec1757d5",0.363636363636364,0.285714285714286,"False","False",1,0
"104",103,"5eb9d60bcd9c0e0fec1757d5",0.909090909090909,0.857142857142857,"True","False",1,0
"105",104,"5eb9d60bcd9c0e0fec1757d5",0,0.857142857142857,"False","False",1,0
"106",105,"5eb9d60bcd9c0e0fec1757d5",0.272727272727273,0.428571428571429,"False","False",1,0
"107",106,"5eb9d60bcd9c0e0fec1757d5",0.181818181818182,0.571428571428572,"False","False",1,0
"108",107,"5eb9d60bcd9c0e0fec1757d5",0.545454545454545,0.285714285714286,"False","False",1,0
"109",108,"5eb9d60bcd9c0e0fec1757d5",0.272727272727273,0.428571428571429,"False","False",1,0
"110",109,"5eb9d60bcd9c0e0fec1757d5",0.727272727272727,0.571428571428572,"False","False",1,0
"111",110,"5eb9d60bcd9c0e0fec1757d5",0.909090909090909,0.857142857142857,"True","False",1,0
"112",111,"5eb9d60bcd9c0e0fec1757d5",0.363636363636364,0.285714285714286,"False","False",1,0
"113",112,"5eb9d60bcd9c0e0fec1757d5",0.181818181818182,0.571428571428572,"False","False",1,0
"114",113,"5eb9d60bcd9c0e0fec1757d5",0.909090909090909,0.857142857142857,"True","False",1,0
"115",114,"5eb9d60bcd9c0e0fec1757d5",0.545454545454545,0.285714285714286,"False","False",1,0
"116",115,"5eb9d60bcd9c0e0fec1757d5",0.909090909090909,0.857142857142857,"True","False",1,0
"117",116,"5eb9d60bcd9c0e0fec1757d5",0.363636363636364,0.285714285714286,"False","False",1,0
"118",117,"5eb9d60bcd9c0e0fec1757d5",0.818181818181818,0.714285714285714,"False","False",1,0
"119",118,"5eb9d60bcd9c0e0fec1757d5",0.636363636363636,0.428571428571429,"True","False",1,0
"120",119,"5eb9d60bcd9c0e0fec1757d5",1,1,"True","False",1,0
"121",120,"60d52dfc658f196e24a13586",1,1,"True","False",1,0
"122",121,"60d52dfc658f196e24a13586",0.909090909090909,0.857142857142857,"False","True",1,1
"123",122,"60d52dfc658f196e24a13586",0.272727272727273,0.428571428571429,"False","True",1,1
"124",123,"60d52dfc658f196e24a13586",0.363636363636364,0.285714285714286,"False","True",1,1
"125",124,"60d52dfc658f196e24a13586",0.636363636363636,0.428571428571429,"False","False",1,0
"126",125,"60d52dfc658f196e24a13586",0.363636363636364,0.285714285714286,"False","False",1,0
"127",126,"60d52dfc658f196e24a13586",0.636363636363636,0.428571428571429,"False","False",1,0
"128",127,"60d52dfc658f196e24a13586",0.636363636363636,0.428571428571429,"False","False",1,0
"129",128,"60d52dfc658f196e24a13586",0.272727272727273,0.428571428571429,"False","True",1,1
"130",129,"60d52dfc658f196e24a13586",0.363636363636364,0.285714285714286,"False","False",1,0
"131",130,"60d52dfc658f196e24a13586",0.636363636363636,0.428571428571429,"False","False",1,0
"132",131,"60d52dfc658f196e24a13586",1,1,"True","False",1,0
"133",132,"60d52dfc658f196e24a13586",0.363636363636364,0.285714285714286,"False","True",1,1
"134",133,"60d52dfc658f196e24a13586",0.909090909090909,0.857142857142857,"False","True",1,1
"135",134,"60d52dfc658f196e24a13586",0,0.857142857142857,"False","True",1,1
"136",135,"60d52dfc658f196e24a13586",0.272727272727273,0.428571428571429,"False","True",1,1
"137",136,"60d52dfc658f196e24a13586",0.181818181818182,0.571428571428572,"False","False",1,0
"138",137,"60d52dfc658f196e24a13586",0.545454545454545,0.285714285714286,"False","False",1,0
"139",138,"60d52dfc658f196e24a13586",0.272727272727273,0.428571428571429,"False","False",1,0
"140",139,"60d52dfc658f196e24a13586",0.727272727272727,0.571428571428572,"False","False",1,0
"141",140,"60d52dfc658f196e24a13586",0.909090909090909,0.857142857142857,"False","False",1,0
"142",141,"60d52dfc658f196e24a13586",0.363636363636364,0.285714285714286,"False","True",1,1
"143",142,"60d52dfc658f196e24a13586",0.181818181818182,0.571428571428572,"False","False",1,0
"144",143,"60d52dfc658f196e24a13586",0.909090909090909,0.857142857142857,"False","False",1,0
"145",144,"60d52dfc658f196e24a13586",0.545454545454545,0.285714285714286,"False","False",1,0
"146",145,"60d52dfc658f196e24a13586",0.909090909090909,0.857142857142857,"True","False",1,0
"147",146,"60d52dfc658f196e24a13586",0.363636363636364,0.285714285714286,"False","True",1,1
"148",147,"60d52dfc658f196e24a13586",0.818181818181818,0.714285714285714,"False","True",1,1
"149",148,"60d52dfc658f196e24a13586",0.636363636363636,0.428571428571429,"False","False",1,0
"150",149,"60d52dfc658f196e24a13586",1,1,"False","True",1,1
"151",150,"5be9c2e7baa65d000184d1b6",1,1,"False","True",1,1
"152",151,"5be9c2e7baa65d000184d1b6",0.909090909090909,0.857142857142857,"False","True",1,1
"153",152,"5be9c2e7baa65d000184d1b6",0.272727272727273,0.428571428571429,"False","True",1,1
"154",153,"5be9c2e7baa65d000184d1b6",0.363636363636364,0.285714285714286,"False","True",1,1
"155",154,"5be9c2e7baa65d000184d1b6",0.636363636363636,0.428571428571429,"False","False",1,0
"156",155,"5be9c2e7baa65d000184d1b6",0.363636363636364,0.285714285714286,"False","True",1,1
"157",156,"5be9c2e7baa65d000184d1b6",0.636363636363636,0.428571428571429,"False","False",1,0
"158",157,"5be9c2e7baa65d000184d1b6",0.636363636363636,0.428571428571429,"False","False",1,0
"159",158,"5be9c2e7baa65d000184d1b6",0.272727272727273,0.428571428571429,"False","False",1,0
"160",159,"5be9c2e7baa65d000184d1b6",0.363636363636364,0.285714285714286,"False","True",1,1
"161",160,"5be9c2e7baa65d000184d1b6",0.636363636363636,0.428571428571429,"False","True",1,1
"162",161,"5be9c2e7baa65d000184d1b6",1,1,"False","False",1,0
"163",162,"5be9c2e7baa65d000184d1b6",0.363636363636364,0.285714285714286,"False","True",1,1
